lok-sabha,session,api-data,api-url,dateOfAttendance
15,1,"{'dateOfAttendance': '2009-06-01', 'presentCount': 394, 'absentCount': 63}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/01
15,1,"{'dateOfAttendance': '2009-06-02', 'presentCount': 412, 'absentCount': 45}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/02
15,1,"{'dateOfAttendance': '2009-06-03', 'presentCount': 404, 'absentCount': 53}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/03
15,1,"{'dateOfAttendance': '2009-06-04', 'presentCount': 407, 'absentCount': 50}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/04
15,1,"{'dateOfAttendance': '2009-06-05', 'presentCount': 361, 'absentCount': 96}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/05
15,1,"{'dateOfAttendance': '2009-06-08', 'presentCount': 376, 'absentCount': 81}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/08
15,1,"{'dateOfAttendance': '2009-06-09', 'presentCount': 381, 'absentCount': 76}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/09
15,2,"{'dateOfAttendance': '2009-07-02', 'presentCount': 394, 'absentCount': 63}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/02
15,2,"{'dateOfAttendance': '2009-07-03', 'presentCount': 402, 'absentCount': 55}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/03
15,2,"{'dateOfAttendance': '2009-07-06', 'presentCount': 392, 'absentCount': 65}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/06
15,2,"{'dateOfAttendance': '2009-07-07', 'presentCount': 395, 'absentCount': 62}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/07
15,2,"{'dateOfAttendance': '2009-07-08', 'presentCount': 397, 'absentCount': 60}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/08
15,2,"{'dateOfAttendance': '2009-07-09', 'presentCount': 371, 'absentCount': 86}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/09
15,2,"{'dateOfAttendance': '2009-07-10', 'presentCount': 313, 'absentCount': 144}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/10
15,2,"{'dateOfAttendance': '2009-07-13', 'presentCount': 343, 'absentCount': 114}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/13
15,2,"{'dateOfAttendance': '2009-07-14', 'presentCount': 370, 'absentCount': 87}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/14
15,2,"{'dateOfAttendance': '2009-07-15', 'presentCount': 360, 'absentCount': 97}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/15
